name,n_fichero,n_caracteres,texto,distancia,NER,Name,Partido
126,00000257.jpg.subtitulo.tif.txt,88, no me vuelvo loco no la escribió milei sino los geniales stivel rot e infante ,66,0,,Desconocido
127,00000258.jpg.subtitulo.tif.txt,102,ariel y alejo sobrevivieron a su propia movida se desintoxicaron y siguieron saliendo a cantar ,96,0,,Desconocido
128,00000262.jpg.subtitulo.tif.txt,49, rosendo loco por incordiar tocata 1985 ,89,0,,Desconocido
129,00000263.jpg.subtitulo.tif.txt,66,paradójicamente su incordio siempre ha estado lleno de cordura ,65,0,,Desconocido
130,00000264.jpg.subtitulo.tif.txt,48,el teclista después del concierto tenía pádel ,67,0,,Desconocido
131,00000269.jpg.subtitulo.tif.txt,58,lts a sin aunque ahora está más de moda decir 0 0 ,58,0,,Desconocido
133,00000271.jpg.subtitulo.tif.txt,96,chris lowe las gafas de sol más famosas de la electrónica hasta el advenimiento de bizarrap ,86,0,,Desconocido
134,00000273.jpg.subtitulo.tif.txt,52,modern talking jet airliner sábado noche 1987 ,96,0,,Desconocido
135,00000274.jpg.subtitulo.tif.txt,88,el día que fueron a la peluquería llevaron una foto de macguyver y otra de farruquito ,88,0,,Desconocido
136,00000276.jpg.subtitulo.tif.txt,109,alemania descubrió demasiado tarde que un falsete podía ser más eficaz que un panzer para conquistar europa ,112,0,,Desconocido
137,00000281.jpg.subtitulo.tif.txt,46,aqua barbie girl risas y estrellas 1997 ,102,0,,Desconocido
138,00000282.jpg.subtitulo.tif.txt,87,la temática de barbie la onda expansiva y los efectos devastadores de oppenheimer ,72,0,,Desconocido
139,00000283.jpg.subtitulo.tif.txt,85,en la peli apenas sonó como parte de un remix en el documental de georgina ni eso ,96,0,,Desconocido
140,00000289.jpg.subtitulo.tif.txt,42,vicco nochentera benidorm fest 2023 ,78,0,,Desconocido
141,00000290.jpg.subtitulo.tif.txt,54,el año en que adoramos a vieco y aborrecimos un pico ,59,0,,Desconocido
143,00000292.jpg.subtitulo.tif.txt,107,la versión que habla de la relación de feijóo con el último resultado electoral se titula nosentera ,89,0,,Desconocido
144,00000296.jpg.subtitulo.tif.txt,38,cher believe qué apostamos 1998 ,94,0,,Desconocido
145,00000297.jpg.subtitulo.tif.txt,129,si quisieras eliminar el autotune de la historia de la música este sería el momento justo del pasado al que deberías regresar ,118,0,,Desconocido
147,00000299.jpg.subtitulo.tif.txt,127,tiene mérito mantener la elegancia llevando un gorro cosaco y los pantalones de punky brewster en un hotel de marina d or ,146,0,,Desconocido
148,00000303.jpg.subtitulo.tif.txt,44,gloria trevi todos me miran feliz 2022 ,117,0,,Desconocido
149,00000304.jpg.subtitulo.tif.txt,107,es fácil reconocer al invitado mexicano en tu fiesta es el que acaba de ponerse la corbata en la cabeza ,99,0,,Desconocido
150,00000305.jpg.subtitulo.tif.txt,101,méxico una tierra sometida a grandes fuerzas de la naturaleza terremotos huracanes gloria trevi ,116,0,,Desconocido
151,00000309.jpg.subtitulo.tif.txt,32,ana mena las 12 feliz 2023 ,89,0,,Desconocido
152,00000310.jpg.subtitulo.tif.txt,79,joer acaba de presentar las campanadas por primera vez y ya tiene canción ,69,0,,Desconocido
153,00000311.jpg.subtitulo.tif.txt,84,otro gran producto de la masía de la música andaluza el programa menuda noche ,82,0,,Desconocido
155,00000313.jpg.subtitulo.tif.txt,91,ana mena sintiendo en sus carnes la presión de los hombres de negro como grecia en 2015 ,96,0,,Desconocido
156,00000318.jpg.subtitulo.tif.txt,116,la frase qué dolor qué dolor dentro de un armario define bien los últimos minutos de vida de david carradine ,115,0,,Desconocido
157,00000319.jpg.subtitulo.tif.txt,82,un ratio de una enfermera por paciente el sueño húmedo de la atención primaria ,106,0,,Desconocido
158,00000320.jpg.subtitulo.tif.txt,50,raffaella carra qué dolor 300 millones 1982 ,85,0,,Desconocido
159,00000325.jpg.subtitulo.tif.txt,62,ricchi poveri sará perché ti amo noche de fiesta 2006 ,62,0,,Desconocido
160,00000326.jpg.subtitulo.tif.txt,109,en los 70 no paraban de sonar su nombre sucumbió a la hegemonía de la clase media pero están volviendo ,103,0,,Desconocido
161,00000327.jpg.subtitulo.tif.txt,106, por qué franco gatti parece árbitro de fútbol obviamente para poder escribir aquí caso negreira ,120,0,,Desconocido
163,00000334.jpg.subtitulo.tif.txt,36,umberto tozzi tú aplauso 1979 ,89,0,,Desconocido
164,00000335.jpg.subtitulo.tif.txt,106,alguien dentro de umberto se pone muy nervioso puede ser michael caine paul mccartney o camilo sesto ,93,0,,Desconocido
165,00000336.jpg.subtitulo.tif.txt,88, hablaré de todo lo que es mio de ti o está mal traducida o aquí alguien roba cosas ,97,0,,Desconocido
166,00000341.jpg.subtitulo.tif.txt,59,eros ramazzott cosas de la vida hola raffaella 1993 ,84,0,,Desconocido
167,00000342.jpg.subtitulo.tif.txt,77,si bastasen dos simples canciones pero qué va tiene como veinte discos ,81,0,,Desconocido
169,00000344.jpg.subtitulo.tif.txt,78,en un pestañeo daremos un salto de eones en el concepto de canción romántica ,78,0,,Desconocido
170,00000346.jpg.subtitulo.tif.txt,35,omar montes alocao feliz 2021 ,69,0,,Desconocido
171,00000347.jpg.subtitulo.tif.txt,95,sobrevivió a una estancia en una isla en honduras y a varias comidas familiares en cantora ,85,0,,Desconocido
172,00000348.jpg.subtitulo.tif.txt,84,hay algo poético en el hecho de petarlo en la música urbana apellidándote montes ,104,0,,Desconocido
173,00000353.jpg.subtitulo.tif.txt,64,henry mendez rayos de sol no es un sábado cualquiera 2017 ,83,0,,Desconocido
174,00000354.jpg.subtitulo.tif.txt,116,la canción dura casi cuatro minutos las palabras crema y protectora se pronuncian un total de cero veces ,107,0,,Desconocido
175,00000355.jpg.subtitulo.tif.txt,96,a henry como a los ultras de las protestas contra la amnistía le gusta estar cara al sol ,100,0,,Desconocido
176,00000361.jpg.subtitulo.tif.txt,32,claramente iban muy abrigadas ,81,0,,Desconocido
177,00000362.jpg.subtitulo.tif.txt,85,tiene nombre de modelo de suv y también es el preferido por mujeres de mediana edad ,78,0,,Desconocido
179,00000367.jpg.subtitulo.tif.txt,54,elsa baeza mama inés así como suena 1983 ,81,0,,Desconocido
180,00000368.jpg.subtitulo.tif.txt,72,el nuevo estribillo de este clásico cubano es un pelín menos pegodizo ,73,0,,Desconocido
181,00000369.jpg.subtitulo.tif.txt,115, sin importar nuestra pigmentación todos tomamos café orgúnico en igualdad y sin generalizaciones arbitrarias ,112,0,,Desconocido
183,00000375.jpg.subtitulo.tif.txt,87,la mesías no sabemos si salvaría el mundo pero llevaba la cruz y cantaba como dios ,121,0,,Desconocido
185,00000377.jpg.subtitulo.tif.txt,96, assssúcar ahora también disponemos de miel panela estevia eritritol o sirope de agave ,104,0,,Desconocido
186,00000382.jpg.subtitulo.tif.txt,89,juan luis guerra 4 40 visa para un sueño pero esto qué es esto es lo que hay 1990 ,101,0,,Desconocido
187,00000383.jpg.subtitulo.tif.txt,75,ojalá todas las guerras que hemos vivido este año se llamaran juan luis ,82,0,,Desconocido
188,00000384.jpg.subtitulo.tif.txt,68,sintiéndolo mucho esta noche os hemos denegado la visa del sueño ,77,0,,Desconocido
189,00000388.jpg.subtitulo.tif.txt,54,shakira hips don t lie andolucía te quiere 2006 ,69,0,,Desconocido
190,00000389.jpg.subtitulo.tif.txt,103,las caderas no mienten de los maridos y las declaraciones de de la renta no podemos decir lo mismo ,93,0,,Desconocido
191,00000390.jpg.subtitulo.tif.txt,71,el simple visionado de este vídeo te justifica una baja por lumbago ,97,0,,Desconocido
192,00000397.jpg.subtitulo.tif.txt,55,vicente fernández y massiel el rey palmarés 1976 ,77,0,,Desconocido
193,00000398.jpg.subtitulo.tif.txt,98,así eran los duetos entre estrellas latinas antes de que supiéramos qué coño significa feat ,93,0,,Desconocido
194,00000399.jpg.subtitulo.tif.txt,88,no tiene trono ni reina ni explicaciones pero le queda algún amigo en sanxenxo ,99,0,,Desconocido
195,00000401.jpg.subtitulo.tif.txt,48,juanes y pablo lópez tu enemigo feliz 2016 ,78,0,,Desconocido
196,00000402.jpg.subtitulo.tif.txt,57,juanes todos sabéis quién es el de la chaqueta negra ,56,0,,Desconocido
197,00000403.jpg.subtitulo.tif.txt,50,este tema es la banda sonora de la lista forbes ,55,0,,Desconocido
198,00000405.jpg.subtitulo.tif.txt,118,pablo es menos famoso que juanes porque se empeñó en dejar su nombre en singular pablos lopezes era mucho mejor ,96,0,,Desconocido
199,00000410.jpg.subtitulo.tif.txt,68,miguel poveda y antonio josé sobreviviré dóos increíbles 2022 ,116,0,,Desconocido
200,00000411.jpg.subtitulo.tif.txt,95,con todos los respetos a antonio josé esperábamos que el dúo de rufián fuera con junqueras ,89,0,,Desconocido
201,00000412.jpg.subtitulo.tif.txt,60,los bailarines luego se suelen quedar a fregar los platos ,89,0,,Desconocido
202,00000418.jpg.subtitulo.tif.txt,91,sabina se aplicó el cuento y acabó derrapando ha pagado todas las multas con creces ,80,0,,Desconocido
204,00000420.jpg.subtitulo.tif.txt,103,años después el hijo de el fary hizo la segunda parte cuanto más acelero más calentito me pongo ,109,0,,Desconocido
205,00000425.jpg.subtitulo.tif.txt,45,dúo dinámico lolita twist aplauso 1980 ,95,0,,Desconocido
206,00000426.jpg.subtitulo.tif.txt,108, 15 años lolita muy joven para amar su repertorio debería tener una carpeta propia en la fiscalía ,97,0,,Desconocido
207,00000427.jpg.subtitulo.tif.txt,115, la pandemia creímos que formaban el dúo más estomagante gonzález y guerra han vuelto para recordarnos que no ,126,0,,Desconocido
208,00000431.jpg.subtitulo.tif.txt,61,pancho y javi el final del verano estudio abierto 1983 ,103,0,,Desconocido
209,00000432.jpg.subtitulo.tif.txt,118,el pp usó verano azul para su campaña el plan b era fariña o crematorio pero el resultado fue poco yo ,95,0,,Desconocido
210,00000433.jpg.subtitulo.tif.txt,80,a juzgar por la sudoración en el bigote de pancho ue siendo pleno verano ,103,0,,Desconocido
211,00000439.jpg.subtitulo.tif.txt,54,paco clavel corazón contento en buena hora 1990 ,67,0,,Desconocido
212,00000440.jpg.subtitulo.tif.txt,99,ni netflix ni hbo ni rtve play la suyas fueron las primeros plataformas que vimos en tv ,92,0,,Desconocido
214,00000442.jpg.subtitulo.tif.txt,103,cultura de aprovechamiento hacerte una chaqueta con el contenido de la mesilla de noche de tu abuela ,115,0,,Desconocido
215,00000446.jpg.subtitulo.tif.txt,107,el del canto del loco es uno de los regresos más esperados junto al de mecano y el criterio de calamaro ,111,0,,Desconocido
217,00000448.jpg.subtitulo.tif.txt,100, no quiero más vida que subida el lema que ha guiado la trayectoria vital de juanito oyarzábal ,117,0,,Desconocido
218,00000453.jpg.subtitulo.tif.txt,49,camilo sesto melina risas y estrellas 1998 ,94,0,,Desconocido
219,00000454.jpg.subtitulo.tif.txt,112,no confundir con el camilo colombiano sesto no lleva bigote y sí logró superar primero de rima consonante ,97,0,,Desconocido
221,00000456.jpg.subtitulo.tif.txt,97,el crossover que mejor resumiria las últimas cinco décadas de música española camela sesto ,123,0,,Desconocido
222,00000457.jpg.subtitulo.tif.txt,46,luz no me importa nada la palmera 1990 ,76,0,,Desconocido
223,00000458.jpg.subtitulo.tif.txt,58,hasta greta thunberg dejaría siempre encendida esta luz ,59,0,,Desconocido
225,00000460.jpg.subtitulo.tif.txt,125, tu juegas a engañarme yo juego a que te creas que te creo buen resumen de la negociación del pnv para la investidura ,106,0,,Desconocido
226,00000467.jpg.subtitulo.tif.txt,63,josé luis perales qué pasará mañana estudio abierto 1982 ,119,0,,Desconocido
227,00000468.jpg.subtitulo.tif.txt,80,sospechábamos que era un profeta este año lo demostró muriendo y resucitando ,76,0,,Desconocido
228,00000469.jpg.subtitulo.tif.txt,91,él mismo explicó que estaba cenando en londres la comida inglesa es mala pero no tanto ,90,0,,Desconocido
230,00000471.jpg.subtitulo.tif.txt,84,tres generaciones de artistas y tú en el karaoke han cantado sus composiciones ,98,0,,Desconocido
231,00000473.jpg.subtitulo.tif.txt,58,mocedades has perdido tu tren un dos tres 1984 ,78,0,,Desconocido
232,00000474.jpg.subtitulo.tif.txt,98,el grupo más longevo del pop español años antes de protagonizar su propia guerra de los clones ,88,0,,Desconocido
233,00000475.jpg.subtitulo.tif.txt,90,cambiando el tren por un ferrari y un twingo la canción podría estar dedicada a piqué ,113,0,,Desconocido
234,00000482.jpg.subtitulo.tif.txt,45,ana belén balancé estudio abierto 1982 ,81,0,,Desconocido
235,00000483.jpg.subtitulo.tif.txt,102,tra artista que lo hace todo bien víctor manuel ha comprobadc que canta perfectamente hasta las 40 ,96,0,,Desconocido
236,00000484.jpg.subtitulo.tif.txt,69,desafortunadamente nuestro balancé de este año no es tan positivo ,101,0,,Desconocido
238,00000488.jpg.subtitulo.tif.txt,52,bertín osborne tú solo tú 300 millones 1981 ,70,0,,Desconocido
239,00000489.jpg.subtitulo.tif.txt,89,el darth vader español tiene la voz profunda un lado oscuro y podría ser tu padre ,86,0,,Desconocido
240,00000491.jpg.subtitulo.tif.txt,62,a diferencia de rubiales bertin vende sus picos a 1 50 ,83,0,,Desconocido
241,00000496.jpg.subtitulo.tif.txt,35,sabrina hot girl a tope 1988 ,56,0,,Desconocido
242,00000501.jpg.subtitulo.tif.txt,54,sandra maria magdalena directo en la noche 1986 ,39,0,,Desconocido
243,00000502.jpg.subtitulo.tif.txt,64,para los que lo vivieron esta es lo maria magdalena de proust ,60,0,,Desconocido
