cod_postal,tipo,cod_prov,area_m2,centroide_longitud,centroide_latitud,provincia
09001,indio,09,78997862.80786577,-3.7361287898044506,42.3406314785731,BURGOS
26211,indio,26,80506755.64816585,-3.0145922016715123,42.592296846079215,"RIOJA, LA"
10639,indio,10,104565282.02383113,-6.416823327467483,40.30293829665776,CACERES
14547,indio,14,188570613.79226828,-4.833129724153387,37.5774209684608,CORDOBA
24544,indio,24,10718262.360532656,-6.7228458906377755,42.57951393047516,LEON
36828,indio,36,27178941.593953684,-8.548971769312628,42.41068819162729,PONTEVEDRA
38892,indio,38,14715128.112777857,-17.30193354018999,28.13605747787469,SANTA CRUZ DE TENERIFE
49623,indio,49,28510880.330278803,-5.801637347627639,42.000044720780146,ZAMORA
37257,indio,37,80945842.0703304,-6.742905926416936,41.04876749361301,SALAMANCA
48910,indio,48,6944140.257162962,-2.9991288990865823,43.30827568054576,BIZKAIA
26327,indio,26,27951677.34069262,-2.875820627746302,42.318277394926575,"RIOJA, LA"
46269,indio,46,212562966.20936024,-0.6613573086928562,39.187964176487384,VALENCIA/VALENCIA
14730,indio,14,177882728.269585,-5.100770099910071,37.84283579167045,CORDOBA
02340,indio,02,302404571.20408237,-2.3859808807131113,38.796029857598604,ALBACETE
18516,indio,18,146541813.18195415,-3.2377498999043324,37.22760733615249,GRANADA
34849,indio,34,176895031.79996765,-4.450097255938753,43.00947081292463,PALENCIA
25123,indio,25,12764414.214796327,0.5996237342422357,41.677394085698054,LLEIDA
46530,indio,46,49238779.743991196,-0.319832461373936,39.62761172144343,VALENCIA/VALENCIA
36660,indio,36,724723.3126944155,-8.589134605312356,42.588442449145525,PONTEVEDRA
27339,indio,27,45909846.614703596,-7.3140993524161635,42.56815542982309,LUGO
34486,indio,34,113715525.6594602,-4.37115230705964,42.69692714381826,PALENCIA
46370,indio,46,301482623.8302964,-0.7418198437829874,39.48770477257492,VALENCIA/VALENCIA
05571,indio,05,191794898.13099524,-5.180570484281664,40.50267704981035,AVILA
29716,indio,29,46020012.41390445,-4.081526781370813,36.876729327547636,MALAGA
21540,indio,21,419635367.5596997,-7.207831787114667,37.45518457112768,HUELVA
15403,indio,15,2747388.231948495,-8.22592276552606,43.48317619623077,"CORUNA, A"
03330,indio,03,109445546.22562331,-0.8261890137240181,38.25549956468887,ALICANTE/ALACANT
38379,indio,38,15840064.414116733,-16.44067987863621,28.439179687856686,SANTA CRUZ DE TENERIFE
20259,indio,20,5275628.128689028,-2.1326325310859824,43.07230216826921,GIPUZKOA
36391,indio,36,8439733.242756903,-8.796785960637546,42.160062986631054,PONTEVEDRA
17007,indio,17,31777884.775665797,2.8387004592993113,41.99775710956604,GIRONA
02340,indio,02,302404571.20408237,-2.3859808807131113,38.796029857598604,ALBACETE
02313,indio,02,131408433.0708937,-2.41019618489251,38.67433951546917,ALBACETE
25184,indio,25,24636046.292563178,0.3597784081409628,41.45784117624889,LLEIDA
47010,indio,47,2918294.84887557,-4.719138175779874,41.66483198008513,VALLADOLID
27612,indio,27,42278770.05419564,-7.500402406302403,42.775101780843244,LUGO
31713,indio,31,23200954.499354888,-1.4762229340014443,43.16408675163009,"NAVARRA"
47177,indio,47,28604818.187077466,-4.2958483362449185,41.7512571288695,VALLADOLID
27367,indio,27,43840549.123175025,-7.371507806008476,42.86751877884684,LUGO
09218,indio,09,17502357.673293475,-2.834330587780321,42.68787824282018,BURGOS
23478,indio,23,369898198.00922215,-2.8110251345076622,38.03803082970583,JAEN
27309,indio,27,33186491.486409977,-7.937239753518031,43.18395101923561,LUGO
29750,indio,29,14389642.034661446,-4.043716429852641,36.7669127732148,MALAGA
17183,indio,17,12486827.590296417,2.726914223997463,41.911271054532854,GIRONA
28668,indio,28,3653298.119978968,-3.844229059376369,40.405408051274684,MADRID
30389,indio,30,11431956.44805529,-0.7981781542357868,37.60050623050487,MURCIA
41310,indio,41,34184768.3921103,-5.877161066670491,37.55361278292038,SEVILLA
32373,indio,32,49369752.12572339,-7.092253652474843,42.29730200105012,OURENSE
30385,indio,30,62302654.434566654,-0.7873316134503923,37.61242425941495,MURCIA
22589,indio,22,324203906.1052684,0.5099394454265073,42.04732606162449,HUESCA
07740,indio,07,169256300.42649874,4.130108242974909,40.000574111786385,"BALEARS, ILLES"
49335,indio,49,141684194.72740877,-6.1191524149913255,41.896838599907916,ZAMORA
28755,indio,28,123372704.99060488,-3.6036996453879873,41.09051922652182,MADRID
31809,indio,31,63417024.84868948,-2.2137422496996004,42.88612220003115,"NAVARRA"
50709,indio,50,210177790.48403412,0.018079133987283436,41.187961181259226,ZARAGOZA
28521,indio,28,35318945.44930999,-3.5012904721514997,40.33939300306144,MADRID
33340,indio,33,14692722.109480977,-5.318025838722228,43.50117726671743,ASTURIAS
22006,indio,22,23749238.968227994,-0.40035395114370986,42.15582245971325,HUESCA
35290,indio,35,9230686.030748248,-15.579649910591135,27.918044166160975,"PALMAS, LAS"
27726,indio,27,19505154.25772232,-7.228415487532771,43.373406705487625,LUGO
45614,indio,45,35254365.84991372,-4.907201064784886,39.964645675963816,TOLEDO
38449,indio,38,1726769.460854292,-16.663857248358422,28.370891189739147,SANTA CRUZ DE TENERIFE
